"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"44449-7","Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"29512-1","Beta hydroxybutyrate [Mass/volume] in Serum or Plasma","Both"
"6873-4","Beta hydroxybutyrate [Moles/volume] in Serum or Plasma","Both"
"20423-0","Beta lactamase organism identified in Isolate","Both"
"1952-1","Beta-2-Microglobulin [Mass/volume] in Serum or Plasma","Both"
"14628-2","Bile acid [Moles/volume] in Serum or Plasma","Both"
"43130-4","Bile acid fractions panel [Moles/volume] - Serum","Order"
"34543-9","Bilirubin direct and total panel [Mass/volume] - Serum or Plasma","Order"
"1968-7","Bilirubin.direct [Mass/volume] in Serum or Plasma","Both"
"1974-5","Bilirubin.total [Mass/volume] in Body fluid","Both"
"1975-2","Bilirubin.total [Mass/volume] in Serum or Plasma","Both"
"1978-6","Bilirubin.total [Mass/volume] in Urine","Both"
"1977-8","Bilirubin.total [Presence] in Urine","Both"
"38478-4","Biotinidase [Presence] in DBS","Both"
"41479-7","BK virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"41480-5","BK virus DNA [#/volume] (viral load) in Urine by NAA with probe detection","Both"
"32284-2","BK virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"7816-2","Blastomyces dermatitidis Ab [Presence] in Serum","Both"
"5057-5","Blastomyces dermatitidis Ab [Titer] in Serum by Complement fixation","Both"
"6313-1","Blastomyces dermatitidis Ag [Presence] in Serum by Immunoassay","Both"
"11067-6","Bleeding time","Both"
"33720-4","Blood bank consult","Both"
"888-8","Blood group antibodies identified in Serum or Plasma","Both"
"14575-5","Blood group antibody investigation [Interpretation] in Plasma or RBC","Both"
"890-4","Blood group antibody screen [Presence] in Serum or Plasma","Both"
"34532-2","Blood type and Indirect antibody screen panel - Blood","Order"
"33721-2","Bone marrow Pathology biopsy report","Both"
"48741-3","Bordetella pertussis [Presence] in Nasopharynx by Organism specific culture","Both"
"43381-3","Bordetella pertussis Ab [Presence] in Unspecified specimen by Immunofluorescence","Both"
"550-4","Bordetella pertussis Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"42330-1","Bordetella pertussis IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"11006-4","Borrelia burgdorferi Ab [Presence] in Serum","Both"
"20449-5","Borrelia burgdorferi Ab [Presence] in Serum by Immunoassay","Both"
"6318-0","Borrelia burgdorferi Ab [Units/volume] in Cerebral spinal fluid by Immunoassay","Both"
"4991-6","Borrelia burgdorferi DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"7817-0","Borrelia burgdorferi IgG Ab [Units/volume] in Serum","Both"
"5062-5","Borrelia burgdorferi IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"22131-7","Borrelia burgdorferi IgG+IgM Ab [Presence] in Serum","Both"
"34148-7","Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum","Both"
"62341-3","Borrelia burgdorferi IgG+IgM with reflex to immune blot panel - Serum","Order"
"5064-1","Borrelia burgdorferi IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"7155-5","Boxelder IgE Ab [Units/volume] in Serum","Both"
"38479-2","Branched chain keto-acid dehydrogenase complex [Presence] in DBS","Both"
"6050-9","Brazil Nut IgE Ab [Units/volume] in Serum","Both"
"3414-0","Buprenorphine [Presence] in Urine","Both"
"1986-9","C peptide [Mass/volume] in Serum or Plasma","Both"
"1988-5","C reactive protein [Mass/volume] in Serum or Plasma","Both"
"30522-7","C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method","Both"
"11039-5","C reactive protein [Presence] in Serum or Plasma","Both"
"5609-3","Cadmium [Mass/volume] in Blood","Both"
"3422-3","Caffeine [Mass/volume] in Serum or Plasma","Both"
"1989-3","Calcidiol [Mass/volume] in Serum or Plasma","Both"
"49590-3","Calcidiol and Calciferol panel - Serum or Plasma","Order"
"2236-8","Calciferol (Vit D2) [Mass/volume] in Serum or Plasma","Both"
"1992-7","Calcitonin [Mass/volume] in Serum or Plasma","Both"
"1649-3","Calcitriol [Mass/volume] in Serum or Plasma","Both"
"18488-7","Calcium [Mass/volume] in 24 hour Urine","Both"
"49765-1","Calcium [Mass/volume] in Blood","Both"
"17861-6","Calcium [Mass/volume] in Serum or Plasma","Both"
"17862-4","Calcium [Mass/volume] in Urine","Both"
"35675-8","Calcium [Mass/volume] in Urine collected for unspecified duration","Both"
"38230-9","Calcium.ionized [Mass/volume] in Blood","Both"
"17863-2","Calcium.ionized [Mass/volume] in Serum or Plasma","Both"
"17864-0","Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE)","Both"
"1994-3","Calcium.ionized [Moles/volume] in Blood","Both"
"1995-0","Calcium.ionized [Moles/volume] in Serum or Plasma","Both"
"49255-3","Calculus analysis [Interpretation] in Stone Narrative by Infrared spectroscopy","Both"
"6274-5","California Walnut IgE Ab [Units/volume] in Serum","Both"
"38445-3","Calprotectin [Mass/mass] in Stool","Both"
"6331-3","Campylobacter sp identified in Stool by Organism specific culture","Both"
"2006-5","Cancer Ag 125 [Presence] in Serum or Plasma","Both"
"10334-1","Cancer Ag 125 [Units/volume] in Serum or Plasma","Both"
"6875-9","Cancer Ag 15-3 [Units/volume] in Serum or Plasma","Both"
"24108-3","Cancer Ag 19-9 [Units/volume] in Serum or Plasma","Both"
"17842-6","Cancer Ag 27-29 [Units/volume] in Serum or Plasma","Both"
"6059-0","Candida albicans IgE Ab [Units/volume] in Serum","Both"
"35270-8","Candida sp Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"47000-5","Candida sp rRNA [Presence] in Vaginal fluid by Probe","Both"
"42860-7","Cannabinoids [Mass/volume] in Urine","Both"
"31080-5","Cannabinoids [Presence] in Meconium by Screen method","Both"
"18282-4","Cannabinoids [Presence] in Urine by Screen method","Both"
"70145-8","Cannabinoids [Presence] in Urine by Screen method >50 ng/mL","Both"
"3432-2","carBAMazepine [Mass/volume] in Serum or Plasma","Both"
"2028-9","Carbon dioxide, total [Moles/volume] in Serum or Plasma","Both"
"3436-3","Carboxy tetrahydrocannabinol [Mass/volume] in Urine","Both"
"20521-1","Carboxy tetrahydrocannabinol [Mass/volume] in Urine by Confirmatory method","Both"
"20563-3","Carboxyhemoglobin/Hemoglobin.total in Blood","Both"
"2039-6","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma","Both"
"5076-5","Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","Order"
"3181-5","Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"24319-6","Cardiolipin IgG and IgM panel - Serum","Order"
"3182-3","Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"2053-7","Carotene [Mass/volume] in Serum","Both"
"6061-6","Carrot IgE Ab [Units/volume] in Serum","Both"
"6062-4","Casein IgE Ab [Units/volume] in Serum","Both"
"53829-8","Casein IgG Ab [Mass/volume] in Serum","Both"
"6718-1","Cashew nut IgE Ab [Units/volume] in Serum","Both"
"6833-8","Cat dander IgE Ab [Units/volume] in Serum","Both"
"73879-9","Catecholamine metabolites and creatinine panel - Urine","Order"
"57021-8","CBC W Auto Differential panel - Blood","Order"
"69742-5","CBC W Differential panel, method unspecified - Blood","Order"
"57022-6","CBC W Reflex Manual Differential panel - Blood","Order"
"57782-5","CBC with Ordered Manual Differential panel - Blood","Order"
"34557-9","Cell count and Differential panel - Body fluid","Order"
"34564-5","Cell count and Differential panel - Cerebral spinal fluid","Order"
"34556-1","Cell count panel - Body fluid","Order"
"34563-7","Cell count panel - Cerebral spinal fluid","Order"
"8068-9","Centromere Ab [Units/volume] in Serum","Both"
"53982-5","Centromere protein B Ab [Units/volume] in Serum","Both"
"2064-4","Ceruloplasmin [Mass/volume] in Serum or Plasma","Both"
"21654-9","CFTR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"38404-0","CFTR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","Both"
"19734-3","Chicken droppings IgE Ab [Units/volume] in Serum","Both"
"6070-7","Chicken feather IgE Ab [Units/volume] in Serum","Both"
"6071-5","Chicken meat IgE Ab [Units/volume] in Serum","Both"
"560-3","Chlamydia sp identified in Unspecified specimen by Organism specific culture","Both"
"6349-5","Chlamydia trachomatis [Presence] in Unspecified specimen by Organism specific culture","Both"
"36903-3","Chlamydia trachomatis and Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by NAA with probe detection","Both"
"64017-7","Chlamydia trachomatis and Neisseria gonorrhoeae rRNA panel - Unspecified specimen by NAA with probe detection","Order"
"21190-4","Chlamydia trachomatis DNA [Presence] in Cervix by NAA with probe detection","Both"
"21613-5","Chlamydia trachomatis DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"6357-8","Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection","Both"
"50387-0","Chlamydia trachomatis rRNA [Presence] in Cervix by NAA with probe detection","Both"
"43304-5","Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"4993-2","Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe","Both"
"53925-4","Chlamydia trachomatis rRNA [Presence] in Urethra by NAA with probe detection","Both"
"42931-6","Chlamydia trachomatis rRNA [Presence] in Urine by NAA with probe detection","Both"
"21184-7","Chlamydophila pneumoniae [Presence] in Unspecified specimen by Organism specific culture","Both"
"2069-3","Chloride [Moles/volume] in Blood","Both"
"2075-0","Chloride [Moles/volume] in Serum or Plasma","Both"
"2077-6","Chloride [Moles/volume] in Sweat","Both"
"2078-4","Chloride [Moles/volume] in Urine","Both"
"35676-6","Chloride [Moles/volume] in Urine collected for unspecified duration","Both"
"6073-1","Chocolate IgE Ab [Units/volume] in Serum","Both"
"1990-1","Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma","Both"
"2093-3","Cholesterol [Mass/volume] in Serum or Plasma","Both"
"2085-9","Cholesterol in HDL [Mass/volume] in Serum or Plasma","Both"
"2089-1","Cholesterol in LDL [Mass/volume] in Serum or Plasma","Both"
"18262-6","Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay","Both"
"35558-6","Cholinesterase panel [Enzymatic activity/volume] - Blood","Order"
"2118-8","Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma","Both"
"2106-3","Choriogonadotropin (pregnancy test) [Presence] in Urine","Both"
"19080-1","Choriogonadotropin [Units/volume] in Serum or Plasma","Both"
"25372-4","Choriogonadotropin [Units/volume] in Urine","Both"
"2110-5","Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Serum or Plasma","Both"
"2112-1","Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine","Both"
"2111-3","Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma","Both"
"2114-7","Choriogonadotropin.beta subunit [Moles/volume] in Urine","Both"
"43799-6","Choriogonadotropin.beta subunit [Presence] in Unspecified specimen","Both"
"21198-7","Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma","Both"
"2115-4","Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma","Both"
"30243-0","Choriogonadotropin.intact [Units/volume] in Serum or Plasma","Both"
"45194-8","Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma","Both"
"53959-3","Choriogonadotropin.tumor marker [Units/volume] in Serum or Plasma","Both"
"51775-5","Chromatin Ab [Units/volume] in Serum or Plasma","Both"
"5619-2","Chromium [Mass/volume] in Blood","Both"
"5622-6","Chromium [Mass/volume] in Serum or Plasma","Both"
"9811-1","Chromogranin A [Mass/volume] in Serum or Plasma","Both"
"25587-7","Chromogranin A [Moles/volume] in Serum or Plasma","Both"
"30169-7","Chromogranin A [Units/volume] in Serum or Plasma by Immunoassay","Both"
"50659-2","Chromosome analysis.interphase [Interpretation] in Bone marrow by FISH Narrative","Both"
"45269-8","Chronic leukemia panel - Unspecified specimen by Flow cytometry (FC)","Order"
"20640-9","Citrulline [Moles/volume] in Serum or Plasma","Both"
"6075-6","Cladosporium herbarum IgE Ab [Units/volume] in Serum","Both"
"7415-3","Cladosporium sphaerospermum IgE Ab [Units/volume] in Serum","Both"
"6076-4","Clam IgE Ab [Units/volume] in Serum","Both"
"35603-0","clonazePAM [Mass/volume] in Serum or Plasma by Screen method","Both"
"34712-0","Clostridioides difficile [Presence] in Stool","Both"
"20761-3","Clostridioides difficile [Presence] in Stool by Agglutination","Both"
"61367-9","Clostridioides difficile DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"34713-8","Clostridioides difficile toxin A+B [Presence] in Stool","Both"
"6362-8","Clostridioides difficile toxin A+B [Presence] in Stool by Cytotoxin tissue culture assay","Both"
"34468-9","Clostridioides difficile toxin A+B [Presence] in Stool by Immunoassay","Both"
"54067-4","Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection","Both"
"22203-4","Clostridium tetani IgG Ab [Units/volume] in Serum","Both"
"6367-7","Clostridium tetani IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"6896-5","cloZAPine [Mass/volume] in Serum or Plasma","Both"
"65632-2","Clozapine and Norclozapine panel - Serum or Plasma","Order"
"3187-2","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"3193-0","Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"3198-9","Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"3209-4","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"3218-5","Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"3226-8","Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay","Both"
"16695-9","Cobalamin (Vitamin B12) [Mass/volume] in Blood","Both"
"2132-9","Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma","Both"
"5625-9","Cobalt [Mass/volume] in Blood","Both"
"5627-5","Cobalt [Mass/volume] in Serum or Plasma","Both"
"40527-4","Cocaine [Presence] in Meconium","Both"
"8191-9","Cocaine [Presence] in Serum or Plasma by Screen method","Both"
"3397-7","Cocaine [Presence] in Urine","Both"
"53743-1","Cocaine metabolites.other [Mass/volume] in Urine","Both"
"5095-5","Coccidioides immitis Ab [Presence] in Serum by Immune diffusion (ID)","Both"
